date;symbol;open;high;low;close
01/03/2022 00:00;BTC/USD;4322171;4362649;4318548;4318548
28/02/2022 00:00;BTC/USD;3771710;4425608;3746899;4317898
27/02/2022 00:00;BTC/USD;3914666;3988692;3701574;3771268
26/02/2022 00:00;BTC/USD;3924264;4033099;3860000;3914666
25/02/2022 00:00;BTC/USD;3836093;3972797;3802761;3923164
24/02/2022 00:00;BTC/USD;3725326;3972000;3432405;3837688
23/02/2022 00:00;BTC/USD;3826994;3930324;3706016;3727418
22/02/2022 00:00;BTC/USD;3703698;3846388;3636899;3826994
21/02/2022 00:00;BTC/USD;3838409;3949411;3681072;3707660
20/02/2022 00:00;BTC/USD;4010862;4015162;3797418;3837390
19/02/2022 00:00;BTC/USD;4000875;4047127;3958708;4010902
18/02/2022 00:00;BTC/USD;4053266;4099631;3945000;3999699
17/02/2022 00:00;BTC/USD;4390149;4420478;4008888;4055611
16/02/2022 00:00;BTC/USD;4459075;4459075;4331283;4390148
15/02/2022 00:00;BTC/USD;4256727;4478566;4246996;4458248
14/02/2022 00:00;BTC/USD;4207853;4287168;4157500;4254030
13/02/2022 00:00;BTC/USD;4223268;4277960;4188254;4207774
12/02/2022 00:00;BTC/USD;4239222;4303400;4174006;4224111
11/02/2022 00:00;BTC/USD;4354015;4396972;4198312;4240619
10/02/2022 00:00;BTC/USD;4442624;4585000;4320907;4352460
09/02/2022 00:00;BTC/USD;4410695;4486572;4316400;4442684
08/02/2022 00:00;BTC/USD;4389560;4550100;4270119;4409156
07/02/2022 00:00;BTC/USD;4242024;4452418;4168211;4386904
06/02/2022 00:00;BTC/USD;4142270;4270186;4114181;4242024
05/02/2022 00:00;BTC/USD;4160882;4198312;4097500;4142772
04/02/2022 00:00;BTC/USD;3733075;4176039;3706428;4157957
03/02/2022 00:00;BTC/USD;3692450;3739174;3626455;3732011
02/02/2022 00:00;BTC/USD;3876808;3888396;3661836;3692350
01/02/2022 00:00;BTC/USD;3848356;3928500;3803378;3873304
31/01/2022 00:00;BTC/USD;3791410;3877633;3663166;3849192
30/01/2022 00:00;BTC/USD;3817645;3837888;3737259;3794182
29/01/2022 00:00;BTC/USD;3771314;3874167;3732779;3819265
28/01/2022 00:00;BTC/USD;3717962;3802211;3617398;3774836
27/01/2022 00:00;BTC/USD;3682402;3725100;3551132;3720836
26/01/2022 00:00;BTC/USD;3700676;3894600;3627921;3682932
25/01/2022 00:00;BTC/USD;3672159;3755230;3572243;3697591
24/01/2022 00:00;BTC/USD;3626221;3805000;3295072;3672499
23/01/2022 00:00;BTC/USD;3508479;3657447;3462459;3629362
22/01/2022 00:00;BTC/USD;3644737;3682598;3400000;3509111
21/01/2022 00:00;BTC/USD;4065472;4111558;3542300;3649546
20/01/2022 00:00;BTC/USD;4173321;4351869;4055414;4073605
19/01/2022 00:00;BTC/USD;4237823;4258990;4114523;4168321
18/01/2022 00:00;BTC/USD;4223009;4268525;4129006;4237740
17/01/2022 00:00;BTC/USD;4309908;4320947;4158100;4225507
16/01/2022 00:00;BTC/USD;4308477;4349559;4261500;4310770
15/01/2022 00:00;BTC/USD;4308576;4382680;4238786;4310201
14/01/2022 00:00;BTC/USD;4257944;4346895;4178221;4310235
13/01/2022 00:00;BTC/USD;4393501;4445634;4232100;4257194
12/01/2022 00:00;BTC/USD;4275444;4433726;4247117;4393350
11/01/2022 00:00;BTC/USD;4184222;4314474;4128411;4273600
10/01/2022 00:00;BTC/USD;4185398;4225655;3955870;4184542
09/01/2022 00:00;BTC/USD;4169732;4279649;4120000;4187581
08/01/2022 00:00;BTC/USD;4157673;4231531;4051705;4169077
07/01/2022 00:00;BTC/USD;4309340;4313535;4060000;4153566
06/01/2022 00:00;BTC/USD;4341731;4378286;4241400;4309760
05/01/2022 00:00;BTC/USD;4582877;4685506;4241359;4343580
04/01/2022 00:00;BTC/USD;4646401;4752600;4553905;4582000
03/01/2022 00:00;BTC/USD;4729055;4758658;4569213;4643989
02/01/2022 00:00;BTC/USD;4774525;4798900;4666000;4735022
01/01/2022 00:00;BTC/USD;4623000;4796098;4619990;4777742
31/12/2021 00:00;BTC/USD;4711030;4858947;4565531;4621437
30/12/2021 00:00;BTC/USD;4647459;4791632;4593437;4715071
29/12/2021 00:00;BTC/USD;4759770;4815741;4609994;4648336
28/12/2021 00:00;BTC/USD;5070805;5071959;4730000;4754330
27/12/2021 00:00;BTC/USD;5088532;5209860;5047944;5071811
26/12/2021 00:00;BTC/USD;5042151;5129265;4945885;5079121
25/12/2021 00:00;BTC/USD;5085742;5117936;5019090;5044222
24/12/2021 00:00;BTC/USD;5085000;5186456;5044234;5084148
23/12/2021 00:00;BTC/USD;4861899;5138666;4805110;5085000
22/12/2021 00:00;BTC/USD;4890775;4960000;4844987;4861899
21/12/2021 00:00;BTC/USD;4692672;4935349;4666708;4892986
20/12/2021 00:00;BTC/USD;4667166;4754750;4557294;4691500
19/12/2021 00:00;BTC/USD;4685418;4830734;4645000;4670467
18/12/2021 00:00;BTC/USD;4614163;4737014;4550100;4688187
17/12/2021 00:00;BTC/USD;4765499;4801852;4547874;4621092
16/12/2021 00:00;BTC/USD;4887684;4944900;4750621;4766342
15/12/2021 00:00;BTC/USD;4838695;4951485;4656000;4887684
14/12/2021 00:00;BTC/USD;4673670;4868930;4631040;4838996
13/12/2021 00:00;BTC/USD;5010231;5022620;4575000;4672502
12/12/2021 00:00;BTC/USD;4942051;5080000;4867500;5012438
11/12/2021 00:00;BTC/USD;4717953;4953940;4678900;4940054
10/12/2021 00:00;BTC/USD;4757343;5013288;4688600;4714242
09/12/2021 00:00;BTC/USD;5053515;5083901;4733243;4759312
08/12/2021 00:00;BTC/USD;5063587;5124941;4865620;5054330
07/12/2021 00:00;BTC/USD;5055009;5199100;5006213;5062732
06/12/2021 00:00;BTC/USD;4948400;5098600;4711100;5055500
05/12/2021 00:00;BTC/USD;4924081;4977762;4783634;4946322
04/12/2021 00:00;BTC/USD;5368547;5387777;4196750;4923497
03/12/2021 00:00;BTC/USD;5653426;5765200;5155601;5374369
02/12/2021 00:00;BTC/USD;5723271;5741352;5583985;5654796
01/12/2021 00:00;BTC/USD;5702728;5909964;5646922;5725159
30/11/2021 00:00;BTC/USD;5784333;5925000;5591880;5697412
29/11/2021 00:00;BTC/USD;5732732;5893107;5675000;5784512
28/11/2021 00:00;BTC/USD;5476424;5748242;5330893;5733855
27/11/2021 00:00;BTC/USD;5379432;5538200;5365345;5477466
26/11/2021 00:00;BTC/USD;5900488;5920736;5352403;5378935
25/11/2021 00:00;BTC/USD;5716919;5944545;5704442;5899014
24/11/2021 00:00;BTC/USD;5758391;5775020;5589462;5718506
23/11/2021 00:00;BTC/USD;5628380;5789754;5512860;5757999
22/11/2021 00:00;BTC/USD;5867927;5951678;5562857;5629411
21/11/2021 00:00;BTC/USD;5978585;6009055;5852584;5867847
20/11/2021 00:00;BTC/USD;5812646;5989654;5742427;5976854
19/11/2021 00:00;BTC/USD;5692494;5840205;5564000;5812855
18/11/2021 00:00;BTC/USD;6037694;6097839;5651644;5691766
17/11/2021 00:00;BTC/USD;6011512;6088850;5840000;6037365
16/11/2021 00:00;BTC/USD;6362161;6362800;5856300;6014231
15/11/2021 00:00;BTC/USD;6550987;6638740;6334891;6360609
14/11/2021 00:00;BTC/USD;6440343;6550987;6359576;6550987
13/11/2021 00:00;BTC/USD;6414023;6498000;6340000;6441752
12/11/2021 00:00;BTC/USD;6478313;6549753;6229484;6415841
11/11/2021 00:00;BTC/USD;6491918;6562544;6414000;6482133
10/11/2021 00:00;BTC/USD;6692842;6900000;6285671;6492143
09/11/2021 00:00;BTC/USD;6754749;6856440;6625000;6694572
08/11/2021 00:00;BTC/USD;6330000;6780355;6330000;6755900
07/11/2021 00:00;BTC/USD;6154243;6330000;6139657;6330000
06/11/2021 00:00;BTC/USD;6100819;6160950;6010991;6154244
05/11/2021 00:00;BTC/USD;6143002;6266652;6076917;6103191
04/11/2021 00:00;BTC/USD;6294538;6313682;6072500;6145725
03/11/2021 00:00;BTC/USD;6326000;6356721;6001846;6293072
02/11/2021 00:00;BTC/USD;6094978;6430000;6066991;6326000
01/11/2021 00:00;BTC/USD;6135657;6250000;5950000;6092285
31/10/2021 00:00;BTC/USD;6190496;6243885;6000000;6135944
30/10/2021 00:00;BTC/USD;6227892;6237632;6066002;6193230
29/10/2021 00:00;BTC/USD;6060895;6297154;6015453;6230159
28/10/2021 00:00;BTC/USD;5847106;6252400;5642500;6059276
27/10/2021 00:00;BTC/USD;6033140;6148900;5810001;5846590
26/10/2021 00:00;BTC/USD;6310143;6329930;5983000;6032822
25/10/2021 00:00;BTC/USD;6088396;6373393;6067000;6310143
24/10/2021 00:00;BTC/USD;6130664;6149733;5951000;6091016
23/10/2021 00:00;BTC/USD;6069854;6173738;5963361;6133876
22/10/2021 00:00;BTC/USD;6220751;6375728;5995374;6070268
21/10/2021 00:00;BTC/USD;6602781;6666410;6185000;6221944
20/10/2021 00:00;BTC/USD;6428220;6701650;6352900;6599031
19/10/2021 00:00;BTC/USD;6201499;6449900;6135000;6424161
18/10/2021 00:00;BTC/USD;6151952;6267900;5901300;6203465
17/10/2021 00:00;BTC/USD;6088527;6171200;5893300;6153897
16/10/2021 00:00;BTC/USD;6170345;6235200;6010027;6087026
15/10/2021 00:00;BTC/USD;5737048;6294494;5687700;6165735
14/10/2021 00:00;BTC/USD;5739584;5855000;5683056;5737158
13/10/2021 00:00;BTC/USD;5600461;5777389;5423100;5737455
12/10/2021 00:00;BTC/USD;5749000;5770100;5390900;5599549
11/10/2021 00:00;BTC/USD;5465700;5785579;5446245;5748520
10/10/2021 00:00;BTC/USD;5498449;5656100;5100000;5471495
09/10/2021 00:00;BTC/USD;5395282;5551205;5367469;5497692
